pos,bib,name,team,category,rank,nationality,time,timediff,La Charme,Saint-Gervais,Les Contamines,La Balme,Refuge Croix du Bonhomme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Fouly,Champex Lac,Bovine,Trient,Catogne,Vallorcine,Argentière,Chamonix - Arrivée,la charme_pos,saint-gervais_pos,les contamines_pos,la balme_pos,refuge croix du bonhomme_pos,les chapieux ccas_pos,col de la seigne_pos,refuge elisabetta_pos,col chécrouit - maison vieille_pos,courmayeur - dolonne_pos,refuge bertone_pos,refuge bonatti_pos,arnuva_pos,grand col ferret_pos,la fouly_pos,champex lac_pos,bovine_pos,trient_pos,catogne_pos,vallorcine_pos,argentière_pos,chamonix - arrivée_pos
13,3103,BARNES Pablo,ATLETICA VARAZZE,SE H,14,AR,24:37:07,03:05:09.000000,367,622,876,918,,1653,1998,2178,2823,3032,3775,3710,4044,4457,4962,6517,8425,8879,9600,9770,10479,11109,2152,1761,16,9,-1,14,1238,1461,42,1760,6,6,25,8,14,13,12,12,14,14,14,14
14,71,MASSON Yves,LOU ATHLE,V1 H,15,FR,24:59:10,03:27:12.000000,890,1268,1957,2264,,3270,3692,3964,4572,5046,6064,5796,6039,6365,6623,7122,8986,9757,10380,11060,11552,12432,14,1763,1,1772,-1,1462,14,14,1585,1625,11,11,1462,1463,13,12,14,14,18,15,16,15
15,2888,BARTHES Serge,TEAM SALOMON/TEAM MARATHONIEN SPORT,V1 H,15,FR,24:59:10,03:27:12.000000,364,747,991,1300,,2211,2715,2910,3587,4021,4881,4729,5247,5516,5772,7290,8991,9764,10500,11061,11550,12432,1764,2070,1740,1759,-1,1759,23,24,14,14,14,2,14,25,25,14,18,18,17,16,15,16
16,9,OULEDI WILFRID,TESB,SE H,17,FR,25:09:00,03:37:02.000000,475,763,1249,1538,,2703,2688,2914,3775,4507,4819,4759,5240,5779,6171,6891,8621,9396,10260,11072,11670,13022,4,49,25,2062,-1,1761,39,42,1715,4,10,14,10,7,1463,18,17,17,15,17,17,17
17,1530,BLANC Pascal,LAFUMA ENDURANCESHOP,V1 H,18,FR,25:12:53,03:40:55.000000,648,1014,1503,2056,,3121,3507,3864,4453,4806,4991,5059,5437,5564,5826,6789,8474,9323,10200,11160,12109,13255,2072,1624,1755,1459,-1,1625,1505,1757,1428,1463,2,10,42,42,12,17,24,15,16,18,18,18
18,3699,KIMBALL Nikki,TNF,SE F,19,US,25:23:45,03:51:47.000000,586,764,1370,1852,,2888,3338,3796,5023,5423,5786,5774,6288,6817,7423,8745,11506,12004,12540,12845,13368,13907,49,2071,2098,1621,-1,24,1329,1561,4,1761,1464,13,9,14,16,294,15,16,24,19,19,19
19,46,DURAND Bruno,LES CHAMOIS DU NIVOLET/ LES CHEVALIERS DU VENT,V1 H,20,FR,25:29:39,03:57:41.000000,497,969,1748,2144,,3554,4336,4719,5837,6266,7750,7523,7802,7732,8415,8969,11605,12003,12540,13037,13734,14261,1465,2151,1742,16,-1,1563,4,4,6,6,1564,9,13,13,18,15,16,24,21,21,20,20
20,1896,BERTHAULT Philippe,ASPS,V1 H,20,FR,25:29:39,03:57:41.000000,757,1282,1827,2029,,3544,3689,4354,5551,6180,6860,7047,7488,7496,7931,8962,11608,12003,12540,13036,13736,14261,1770,1769,2026,1559,-1,42,1520,6,1526,11,13,16,17,12,42,16,295,294,19,20,21,21
21,32,REY Patrick,7 LIEUES AVENTURE,V1 H,22,FR,25:44:21,04:12:23.000000,734,1057,1675,2212,,3525,4528,4909,5761,6226,7309,7405,7779,8297,9131,10235,12147,12481,12840,13229,14169,15143,2071,1464,1748,24,-1,16,17,16,2,1563,17,17,295,16,295,25,25,20,20,22,22,23
22,2940,CORDEUIL Olivier,,SE H,22,FR,25:44:21,04:12:23.000000,1220,1501,2275,2697,,3942,,4720,5749,6191,7589,7621,8486,9001,9096,9432,12342,12781,13260,13755,14188,15143,1786,4,1448,42,-1,1763,-1,17,11,2,16,295,16,18,17,1461,42,21,22,24,23,22
23,42,GAYLORD Topher,THE NORTH FACE TEAM,SE H,24,US,25:46:05,04:14:07.000000,471,901,1227,1368,,2139,2051,2259,2592,2864,2811,2440,2605,2509,2966,3512,8873,9923,11580,13400,14632,15247,1564,1775,1545,49,-1,13,6,2,16,1464,1465,12,12,295,15,42,19,19,25,23,24,24
24,3670,KELLER Daniel,VENGA,V1 H,25,CH,25:50:58,04:19:00.000000,478,824,1013,872,973,1435,1282,1464,1904,2347,3491,3367,3919,4245,5678,7701,10461,12239,13020,14299,15002,15540,24,16,1738,2143,4,6,16,13,13,16,18,18,18,17,1464,72,20,25,23,26,25,25
