pos,bib,name,team,category,rank,nationality,time,timediff,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Bovine,Trient,Catogne,Vallo,TaVents,Flégère,Arrivé,delev_pos,stger_pos,conta_pos,balme_pos,bonhom_pos,chapieu_pos,seigne_pos,combal_pos,mtfavre_pos,checrou_pos,courm_pos,bertone_pos,bonatti_pos,arnuva_pos,gdcolf_pos,fouly_pos,champex_pos,bovine_pos,trient_pos,catogne_pos,vallo_pos,tavents_pos,flégère_pos,arrivé_pos
31,4801,DILMI LUDOVIC,XTREM RUNNING TRAIL,V1 H,32,FR,26:22:55,05:47:58,701,1061,1717,2132,2765,3084,,4590,5564,6058,6622,8487,9933,10459,11676,12847,14029,15829,16818,18270,18829,20196,20938,20878,1710,2243,5,2013,1906,13,-1,10,12,19,2059,30,56,18,27,27,31,48,28,25,28,33,33,32
32,3444,SAENZ Martin,,SE H,33,EC,26:26:46,05:51:49,649,985,1731,2269,2854,3223,,4824,5339,5800,6457,7836,8665,9104,9570,10536,12137,13736,14892,16220,17253,18478,19467,21109,2320,1710,16,2186,127,1827,-1,1823,19,29,29,22,21,27,1712,33,27,31,34,45,26,34,34,33
33,55,BURNET Jean,CMBM,SE H,34,FR,26:27:33,05:52:36,552,855,1512,2197,2550,2993,,4806,5350,5888,6262,8786,9650,10124,10597,11305,12999,14999,16246,17776,18634,19917,20646,21156,36,30,39,127,30,129,-1,2022,29,127,127,56,178,178,29,29,29,56,141,34,34,32,32,34
34,226,COLACO Joao,NEL - Pédatleta,SE H,35,PT,26:33:03,05:58:06,941,1427,2420,3519,4343,5051,,7386,8461,9258,10189,12766,14106,14697,15218,15837,16825,17735,18483,19496,19931,20501,21086,21486,30,48,2059,39,1826,145,-1,12,127,129,15,1826,1804,33,129,48,48,34,48,26,45,45,35,35
35,2220,TUCKEY Andrew,,SE H,36,AU,26:33:59,05:59:02,417,710,787,969,1457,2011,,4232,5084,5779,6668,12521,13210,13462,14329,15677,16909,17960,18711,19556,20001,20799,21372,21542,2023,2026,20,71,71,30,-1,11,30,15,129,127,127,1712,1827,24,23,28,45,32,32,35,37,36
36,4575,GRASEL Florian,SHARXX ALPINE TEAM,SE H,37,AT,26:37:18,06:02:21,1152,1544,2358,3009,3572,3935,,5605,6321,6842,7407,9122,10859,11339,12065,12971,14398,16780,17494,19130,19580,20582,21255,21741,2015,2030,2244,30,13,7,-1,29,1826,1822,30,178,129,127,178,34,34,45,32,48,37,37,45,37
37,3279,CALDERON GUILLEN Antonio,RUNNING PEACE WORLD,SE H,38,ES,26:37:29,06:02:32,542,758,1716,2200,2806,3118,,5115,5889,6362,7024,9151,9860,10317,11458,12104,13964,16567,17601,19612,20255,21712,22008,21752,48,144,30,1904,2239,127,-1,127,15,30,1826,27,27,129,34,72,45,32,25,56,41,36,36,38
38,3019,HOARAU Jean-Hugo,EMHM CHAMONIX / TEAM RAIDLIGHT /  ASPTT ANNECY,SE H,39,FR,26:40:06,06:05:09,238,443,968,1661,2537,3147,,5088,6067,6854,7418,9425,10736,11391,12726,13640,15117,16813,17676,19581,19926,21207,21935,21909,16,29,29,13,7,15,-1,30,129,48,1755,29,18,29,48,1755,51,1712,55,42,48,41,40,39
39,3943,ABLANEDO Daniel,AVIENTU,SE H,40,ES,26:46:17,06:11:20,1060,1265,2322,3592,4392,4773,,6893,7702,8248,9040,11777,12478,13078,13857,14263,15832,17149,18301,19739,20264,21342,21777,22280,145,2023,127,144,145,29,-1,19,22,22,22,18,33,1825,24,178,38,42,26,41,42,39,41,40
40,3689,COINTEPAS Nicolas,Kikourou,V1 H,41,FR,26:46:35,06:11:38,1012,1414,2389,2962,3626,4129,,5986,6883,7424,8043,9679,10739,11336,12529,13431,14802,16490,17437,19047,19683,21051,21805,22298,29,36,2035,2238,1825,2241,-1,129,48,1751,48,33,1690,48,1755,23,52,41,42,37,44,42,39,41
41,114,ADAMS Thomas,,SE H,42,GB,26:49:57,06:15:00,604,830,1926,2762,3392,3928,,6005,6931,7465,8151,9621,10772,11510,12479,13241,14591,16456,17432,18956,19877,21207,22000,22500,5,125,145,29,15,12,-1,1822,27,27,27,48,48,1906,72,51,1754,51,41,44,39,44,42,42
42,4769,DURAND Bruno,LES CHAMOIS DU NIVOLET,V1 H,42,FR,26:49:57,06:15:00,765,1322,2366,3334,3996,4613,,7164,8026,8774,9550,11091,12158,12689,13513,14553,16082,17534,18589,19665,20392,21471,22167,22500,71,5,48,1824,29,19,-1,2181,2035,2025,21,1712,29,24,127,38,32,52,37,35,35,40,38,43
